Avgcpureal,forecast
0.2335607540007707,0.15929379382830783
0.2354790570053588,0.1604269934467538
0.2658237157189617,0.16215230466460634
0.2741246088992434,0.16970001443872107
0.2707265620516627,0.16680040484837516
0.2844915236955325,0.16720122627825873
0.2919254572380173,0.17243521292725947
0.2868257979550023,0.16788833953770596
0.2762682323768554,0.17303655767141093
0.2891365856040095,0.16713897493651184
0.3489169129380046,0.17235911186839523
0.3468642824727844,0.18064140356074143
0.3415614362822966,0.35143608566314055
0.3661871050966274,0.3556283033447525
0.3685583926836266,0.3575206105086207
0.3940608563029582,0.3564916135602127
0.4067884695876451,0.35585555372279465
0.4072779998639767,0.3526973101849559
0.405196730640957,0.360228522395055
0.4055601868794956,0.35742049571138046
0.4071348771493448,0.34392201623255453
0.4111966328537338,0.3482762822288546
0.4222150724950293,0.3480805192450773
0.4244503083617184,0.33664796179655704
0.432621512403859,0.4266755565784007
0.4469986181174277,0.42383492006180123
0.4449507811633602,0.42217230467711286
0.4411045589122943,0.4204341761477621
0.452804870247959,0.41668139791051934
0.5116025818563344,0.40899633797038765
0.526678028889997,0.39947822959862833
0.5442402877188347,0.4076562268084782
0.5298516691426115,0.4076001204214302
0.5050129318680286,0.39807747081212597
0.5216694011631514,0.3959516652730356
0.5196896790617107,0.40191279910282857
0.5010887133866555,0.5203109286923868
0.501139997127623,0.5212914011106936
0.5209470601394585,0.5190519379995309
0.5232731182432757,0.5117727987542858
0.5091319973737168,0.505771763570732
0.5186659135086029,0.49920970519764973
0.5122752861143094,0.4883624263166781
0.4914471656595185,0.4892724332578703
0.4850132881835433,0.4835595051836093
0.4823473543794412,0.49090486606293066
0.5253592168580247,0.47887910090552593
0.5327464100330748,0.46530210662907523
0.5419870848638892,0.5345188402370511
0.5402533736415974,0.5362802722568762
0.5464012401339712,0.5299874753802087
0.5337257979573488,0.5368862794670922
0.4955498218818632,0.5354827445825324
0.4644793205939925,0.5364954574673482
0.4418589385677314,0.5368067164034669
0.4499913729945985,0.5276168529845588
0.4379731844201198,0.5281360144340748
0.4513694963495464,0.5212143172773586
0.4648468966725616,0.5198355081943458
0.466863821255173,0.5205961722386849
0.459419080696444,0.4673706400405715
0.4660317045175569,0.46485860655173555
0.4686574065027629,0.46571430475839454
0.4664192504518818,0.4672225537312269
0.4686329790622056,0.4693878065894519
